Language,Language_en,Language_cz,Language_de,Language_ru,Language_es,Language_fr
STR_TITLE,DayZ Imageset Editor - Make something cool for DayZ! 🎨🖌,DayZ Imageset Editor - Vytvořte něco skvělého pro DayZ! 🎨🖌,DayZ Imageset Editor - Mach etwas Cool für DayZ! 🎨🖌,DayZ Imageset Editor - Создайте что-то крутое для DayZ! 🎨🖌,DayZ Imageset Editor - ¡Haz algo genial para DayZ! 🎨🖌,DayZ Imageset Editor - Créez quelque chose de génial pour DayZ! 🎨🖌
STR_FILE_NEW,New Project,Nový projekt,Neues Projekt,Новый проект,Nuevo Proyecto,Nouveau Projet
STR_FILE_OPEN,Load Project,Načíst projekt,Projekt laden,Загрузить проект,Cargar Proyecto,Charger Projet
STR_FILE_SAVE,Save Project,Uložit projekt,Projekt speichern,Сохранить проект,Guardar Proyecto,Sauvegarder Projet
STR_EXPORT_BTN,EXPORT IMAGESET + EDDS,EXPORTOVAT IMAGESET + EDDS,IMAGESET + EDDS EXPORTIEREN,ЭКСПОРТ IMAGESET + EDDS,EXPORTAR IMAGESET + EDDS,EXPORTER IMAGESET + EDDS
STR_HELP,Help,Nápověda,Hilfe,Помощь,Ayuda,Aide
STR_ABOUT,About,O aplikaci,Über,О программе,Acerca de,À propos
STR_SIDEBAR_POS,Sidebar,Boční panel,Seitenleiste,Боковая панель,Barra lateral,Barre latérale
STR_LBL_ALIGN," | Align:"," | Zarovnat:"," | Ausrichten:"," | Выравнивание:"," | Alinear:"," | Aligner:"
STR_LBL_ZOOM,"Zoom:","Zvětšení:","Zoom:","Масштаб:","Zoom:","Zoom:"
STR_LBL_CANVAS," | Canvas Size:"," | Velikost plátna:"," | Leinwandgröße:"," | Размер холста:"," | Tamaño del lienzo:"," | Taille de la toile:"
STR_LBL_GRID,"Grid Size:","Mřížka:","Rastergröße:","Размер сетки:","Tamaño de la cuadrícula:","Taille de la grille:"
STR_LBL_OUTLINE,"Outline:","Obrys:","Umriss:","Контур:","Contorno:","Contour:"
STR_CUSTOM_SIZE,Custom Size,Vlastní velikost,Benutzerdefinierte Größe,Пользовательский размер,Tamaño personalizado,Taille personnalisée
